Username,Posts Count,Followees,Followers,Verified status,Bio
nike,1113,151,290409753,Verified,"Spotlighting athlete* and 👟 stories
#BlackLivesMatter and #StopAsianHate"
Username,Posts Count,Followees,Followers,Verified status,Bio
nike,1113,151,290410420,Verified,"Spotlighting athlete* and 👟 stories
#BlackLivesMatter and #StopAsianHate"
